Model,Type,Term,N_Tokens,Subwords,Has_UNK
Snowflake-M,general,Corpus,1,corpus,False
Snowflake-M,general,Cryptotomus,3,crypt | ##oto | ##mus,False
Snowflake-M,general,Cyclamate,4,cy | ##cl | ##ama | ##te,False
Snowflake-M,general,Epicauta,3,epic | ##au | ##ta,False
Snowflake-M,general,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
Snowflake-M,general,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
Snowflake-M,general,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
Snowflake-M,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
Snowflake-M,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
Snowflake-M,general,Healed,1,healed,False
Snowflake-M,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
Snowflake-M,general,Hyperactivity,3,hyper | ##act | ##ivity,False
Snowflake-M,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
Snowflake-M,general,Intermediary,3,inter | ##media | ##ry,False
Snowflake-M,general,Irrelevant,1,irrelevant,False
Snowflake-M,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
Snowflake-M,general,Laughter,1,laughter,False
Snowflake-M,general,Lissemys,4,li | ##sse | ##my | ##s,False
Snowflake-M,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
Snowflake-M,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
Snowflake-M,general,Malaise,2,mala | ##ise,False
Snowflake-M,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
Snowflake-M,general,Migratory,1,migratory,False
Snowflake-M,general,Millipede,3,mill | ##ipe | ##de,False
Snowflake-M,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
Snowflake-M,general,Myers,1,myers,False
Snowflake-M,general,Notch,1,notch,False
Snowflake-M,general,Notched,2,notch | ##ed,False
Snowflake-M,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
Snowflake-M,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
Snowflake-M,general,Phosmet,3,ph | ##os | ##met,False
Snowflake-M,general,Photogenic,2,photo | ##genic,False
Snowflake-M,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
Snowflake-M,general,Prague,1,prague,False
Snowflake-M,general,Repeat,1,repeat,False
Snowflake-M,general,Robin,1,robin,False
Snowflake-M,general,Rowley,2,row | ##ley,False
Snowflake-M,general,Rumination,2,rum | ##ination,False
Snowflake-M,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
Snowflake-M,general,Simultaneous,1,simultaneous,False
Snowflake-M,general,Solandra,2,sol | ##andra,False
Snowflake-M,general,Tamarao,2,tamara | ##o,False
Snowflake-M,general,Theatrical,1,theatrical,False
Snowflake-M,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
